d,imagen,persona_real,persona_predicha,distance,correcta
1,Test/s1/6.pgm,1,13,0.02501220442354679,False
1,Test/s1/7.pgm,1,19,0.013531646691262722,False
1,Test/s1/8.pgm,1,19,0.13593526184558868,False
1,Test/s1/9.pgm,1,32,0.18242648243904114,False
1,Test/s1/10.pgm,1,32,0.03558763116598129,False
1,Test/s2/6.pgm,2,40,0.0870702788233757,False
1,Test/s2/7.pgm,2,28,0.015002237632870674,False
1,Test/s2/8.pgm,2,26,0.042342741042375565,False
1,Test/s2/9.pgm,2,5,0.007176239509135485,False
1,Test/s2/10.pgm,2,12,0.022010600194334984,False
1,Test/s3/6.pgm,3,8,0.018264317885041237,False
1,Test/s3/7.pgm,3,3,0.1109311580657959,True
1,Test/s3/8.pgm,3,25,0.034116849303245544,False
1,Test/s3/9.pgm,3,25,0.03254496306180954,False
1,Test/s3/10.pgm,3,36,0.02992490865290165,False
1,Test/s4/6.pgm,4,5,0.02923169918358326,False
1,Test/s4/7.pgm,4,15,0.019852101802825928,False
1,Test/s4/8.pgm,4,15,0.055487100034952164,False
1,Test/s4/9.pgm,4,4,0.07805325090885162,True
1,Test/s4/10.pgm,4,3,0.0038447303231805563,False
1,Test/s5/6.pgm,5,5,0.07181553542613983,True
1,Test/s5/7.pgm,5,16,0.008950343355536461,False
1,Test/s5/8.pgm,5,12,0.017686299979686737,False
1,Test/s5/9.pgm,5,26,0.004367320332676172,False
1,Test/s5/10.pgm,5,37,0.047601789236068726,False
1,Test/s6/6.pgm,6,15,0.004979511257261038,False
1,Test/s6/7.pgm,6,24,0.009959022514522076,False
1,Test/s6/8.pgm,6,6,0.01338995061814785,True
1,Test/s6/9.pgm,6,34,0.03836660459637642,False
1,Test/s6/10.pgm,6,35,0.04182150959968567,False
1,Test/s7/6.pgm,7,11,0.07701233774423599,False
1,Test/s7/7.pgm,7,20,0.05027163028717041,False
1,Test/s7/8.pgm,7,6,0.04106210172176361,False
1,Test/s7/9.pgm,7,17,0.2206166833639145,False
1,Test/s7/10.pgm,7,34,0.027138229459524155,False
1,Test/s8/6.pgm,8,40,0.12282190471887589,False
1,Test/s8/7.pgm,8,7,0.03601384535431862,False
1,Test/s8/8.pgm,8,31,0.008343753404915333,False
1,Test/s8/9.pgm,8,36,0.05062136799097061,False
1,Test/s8/10.pgm,8,17,0.02077348344027996,False
1,Test/s9/6.pgm,9,9,0.02699272520840168,True
1,Test/s9/7.pgm,9,9,0.05917678773403168,True
1,Test/s9/8.pgm,9,11,0.014016308821737766,False
1,Test/s9/9.pgm,9,23,0.009160968475043774,False
1,Test/s9/10.pgm,9,17,0.033659547567367554,False
1,Test/s10/6.pgm,10,21,0.02734375,False
1,Test/s10/7.pgm,10,39,0.07234476506710052,False
1,Test/s10/8.pgm,10,39,0.07074519991874695,False
1,Test/s10/9.pgm,10,29,0.14735418558120728,False
1,Test/s10/10.pgm,10,24,0.04451668635010719,False
