imagen,persona_real,persona_predicha,distancia,correcta
yaleB02/yaleB02_P00A+005E-10.pgm,2,2,4.702424,True
yaleB02/yaleB02_P00A+005E+10.pgm,2,2,4.418955,True
yaleB02/yaleB02_P00A+000E-20.pgm,2,2,6.736867,True
yaleB02/yaleB02_P00A+000E+20.pgm,2,2,5.7691846,True
yaleB02/yaleB02_P00A-025E+00.pgm,2,2,6.080826,True
yaleB02/yaleB02_P00A+025E+00.pgm,2,2,7.048183,True
yaleB02/yaleB02_P00A-010E-20.pgm,2,2,7.906252,True
yaleB02/yaleB02_P00A+010E-20.pgm,2,2,6.8892584,True
yaleB02/yaleB02_P00A-020E-10.pgm,2,2,5.138811,True
yaleB02/yaleB02_P00A-020E+10.pgm,2,2,6.2502027,True
yaleB02/yaleB02_P00A+020E-10.pgm,2,35,8.74931,False
yaleB02/yaleB02_P00A+020E+10.pgm,2,2,7.8475447,True
yaleB02/yaleB02_P00A+000E-35.pgm,2,2,12.072679,True
yaleB02/yaleB02_P00A-015E+20.pgm,2,2,6.7614512,True
yaleB02/yaleB02_P00A+015E+20.pgm,2,2,7.425186,True
yaleB02/yaleB02_P00A+000E+45.pgm,2,2,9.335063,True
yaleB02/yaleB02_P00A-035E+15.pgm,2,2,12.302202,True
yaleB02/yaleB02_P00A+035E+15.pgm,2,2,12.599134,True
yaleB02/yaleB02_P00A-050E+00.pgm,2,2,19.201778,True
yaleB02/yaleB02_P00A+050E+00.pgm,2,35,13.502338,False
yaleB02/yaleB02_P00A-035E-20.pgm,2,2,15.252323,True
yaleB02/yaleB02_P00A+035E-20.pgm,2,18,13.741659,False
yaleB02/yaleB02_P00A-020E-40.pgm,2,4,13.69497,False
yaleB02/yaleB02_P00A+020E-40.pgm,2,35,13.323465,False
yaleB02/yaleB02_P00A-070E+00.pgm,2,4,23.79483,False
yaleB02/yaleB02_P00A+070E+00.pgm,2,35,20.869223,False
yaleB02/yaleB02_P00A-035E+40.pgm,2,2,13.448137,True
yaleB02/yaleB02_P00A+035E+40.pgm,2,33,14.811413,False
yaleB02/yaleB02_P00A-060E-20.pgm,2,4,21.248295,False
yaleB02/yaleB02_P00A-060E+20.pgm,2,31,22.538868,False
yaleB02/yaleB02_P00A+060E-20.pgm,2,35,15.464006,False
yaleB02/yaleB02_P00A+060E+20.pgm,2,35,18.347744,False
yaleB02/yaleB02_P00A+000E+90.pgm,2,35,16.886703,False
yaleB02/yaleB02_P00A-050E-40.pgm,2,4,18.512815,False
yaleB02/yaleB02_P00A+050E-40.pgm,2,35,14.924691,False
yaleB02/yaleB02_P00A-095E+00.pgm,2,35,21.796473,False
yaleB02/yaleB02_P00A+095E+00.pgm,2,35,21.015076,False
yaleB02/yaleB02_P00A-035E+65.pgm,2,35,14.858391,False
yaleB02/yaleB02_P00A+035E+65.pgm,2,35,15.101199,False
