d,accuracy,tasa_error,errores,test
1,0.04387990762124711,0.9561200923787528,2070,2165
2,0.04203233256351039,0.9579676674364896,2074,2165
3,0.08267898383371824,0.9173210161662817,1986,2165
5,0.1394919168591224,0.8605080831408776,1863,2165
10,0.22032332563510393,0.7796766743648961,1688,2165
15,0.24526558891454966,0.7547344110854504,1634,2165
20,0.26096997690531176,0.7390300230946882,1600,2165
30,0.2849884526558891,0.7150115473441109,1548,2165
40,0.3002309468822171,0.6997690531177829,1515,2165
60,0.3053117782909931,0.6946882217090069,1504,2165
80,0.30808314087759814,0.6919168591224019,1498,2165
100,0.3085450346420323,0.6914549653579677,1497,2165
120,0.3094688221709007,0.6905311778290992,1495,2165
150,0.3113163972286374,0.6886836027713625,1491,2165
180,0.31224018475750576,0.6877598152424942,1489,2165
